id,name,event_url,description,time,status
178557112,"Cinco de Mayo Pub Crawl in Quincy, MA",http://www.meetup.com/SocialFun/events/178557112/,"Date: Saturday, May 3, 2014 - Time: 1pm-8pm

Registration: 1pm-2pm @ the Stadium Quincy

You will receive yourcrawl schedule at registration. Allstops are in the Quincy Center area.  Start Address: 1495 Hancock St. Quincy, MA

Price: $10 limited time, $20 full price

Cost for now is: $10 - Guests can purchase tickets at https://www.eventbrite.com/e/south-shore-events-presents-cinco-de-mayo-pub-crawl-tickets-10894595027

This includes: Swag, VIP Wristbands (not waiting in line, no covers)food at most stops, drink specials, giveaways, dj/dancing

After this fiesta you may need a siesta! Grab your sombreros and Mexican wear, And head to the border, if you dare. Well have plenty of tequila, salt, and lime, Because it's now margarita time! Join us for our Cinco de Mayo pub crawl!

Sombreroshidden at each location will bring you cheer, because if you are the one to find them we will buy you a beer!

Entry includes:

VIP wristband

Food at some stops

DJ and dancing

Drink specials

Swag

Costume Contest:

You could win 2 tickets to every South Shore Events Pub Crawl in 2014",upcoming
180299272,Cinco de Mayo Margaritas!,http://www.meetup.com/Awesome-Fun-Young-Girlfriends/events/180299272/,"Hey ladies! It looks like we've got a good group going for Saturday. However, we still need to decide on a place and time! I initially scheduled the event for 7:30 PM, but some girls said they would prefer if we get started earlier.

I listed possible places below in the comments section, as well as asking everyone what time they prefer (we'll have to go with the majority on both time and place). If everyone who has RSVP'd could PLEASE comment below and let us know their preferences, that would be awesome!

I'll be choosing a time and place tomorrow and posting the details, so I want to be sure that I pick what everyone is comfortable with. Thanks ladies!

--------------------------------------------------------------

Hey all! I wanted to see if there is any interest in doing some celebrating for Cinco de Mayo this weekend! Monday is actually Cinco de Mayo, but seeing as it's probably best for me not to drink margaritas at work, I figured having an early celebration is the way to go!

There are a few places I know of in the Boston area that serve great Mexican food and margaritas, but I am definitely open to suggestions. Depending on who wants to join, we can all decide on a place!

I know of Papagayo, which has two locations (one near Park Street and the other in Fort Point), and there is also The Painted Burro in Davis Square. But, as I said, other suggestions are welcome!

I know it's almost last minute, but hopefully we can get a group of awesome ladies together to have some yummy food and margaritas!",upcoming
180084022,Boston In Bloom: Creative Flower Photos for Avid Amateurs,http://www.meetup.com/TakeBetterPictures/events/180084022/,"Nobody sees a flower - really - it is so small it takes time - we haven't time - and to see takes time, like to have a friend takes time. Georgia O'Keeffe

Flowers and blossoms are among the most popular subjects for photographers. I imagine you have already taken hundreds of GOOD flower photos. We love their colors, shapes, textures and energy.

And with a little more creativity, you can take GREAT photos of flowers. What is the difference? When you show someone a good photo of a flower they say, oh that's nice. When you show them a great photo, they are touched, moved and inspired by the beauty of the image you have created. In this class you will discover how to really see and capture beauty in bloom. Have you ever taken a photo of a flower you thought would be great, only to discover it was boring?

Have you ever wondered how to capture the personality of a flower? Are your photos of flowers all starting to look the same? Or perhaps you think flower photos are ""cliche"" but you are open to seeing them with a fresh eye?
Then this workshop is for you! Flowers are a special subject for photography because they can tell a story, evoke an emotion and invite us to express our creativity. You don't have to be an artist to see like one. In this class I will reveal the simple but effective ways you can see more creatively and express your love of flowers through your photos. In the fun and informative class you will discover: How to capture the translucent, ephemeral quality of a flower

How to compose the shot for the greatest impact and drama

How to use color, texture and shape to express the beauty of blossoms

The class size will be small so you will also receive individual attention and critique so you can immediately improve the quality of your photos. Any type of camera is fine, even your iPhone will work. This is an intuitive approach to creative seeing, not a technical workshop.

I will guide you step by step through a simple process of seeing creatively that you can use from now on not only when you photography flowers, but other subjects as well.

Why not make this the Spring your flower photos go from good to GREAT! If this sounds exciting to you, please RSVP RIGHT NOW. I offer a 100% learning guarantee. If you don't discover something inspiring and practical in this class, I will refund your tuition.

The best part is, you will be learning with other Avid Amateurs who share your love of photography and flowers. We will be meeting at the Charles River where the light is beautiful and the trees are in bloom. Details for exactly where will be provided once you RSVP.

Come join us and take time to see a flower and make a friend. RSVP now please so I can reserve your space in this special class.Tuition $20.00

See you on Saturday! Suzanne

P.S. Plan to stay at the end of class for the social time when we take a look at photos you have taken and have ""refreshments"". Theblossoms won't last for long so catch the beauty while you can.

Closest T stop Copley Square on Green Line.

Blue Hour Blossoms Photographer Guy Lafontaine April 28th 2014

http://itunes.apple.com/us/book/flow-tography-better-photos/id499049037?mt=11&amp;uo=4",upcoming
178853832,Glass Welcome And Night Out,http://www.meetup.com/Google-Glass-New-England/events/178853832/,"Also listed on G+ events HERE

Meeting at Legal Seafoods, Kendall Square. Maybe grab a bite then head to Memorial Drive for a walk along the Charles and weather permitting catch a nice sunset at around 7:45.

Plan to be nice to strangers and introduce them to Glass.",upcoming
180722292,BLINK One Day Photo Exhibition,http://www.meetup.com/DSI-Photo-and-Imaging-Workshops/events/180722292/,"BLINK is Back!The 1 Day photo pop-up exhibit and sale featuring 90+ New England photographers. Part of Somerville Open Studios. See some great photography, enjoy some food and live music. FREE Admission

 1 photograph from each artist

 All photographs priced below $500

 10% of sales benefit the Griffin Museum of Photography

 Live music by theSorry Honeys Food provided byCuisine en Locale Special libations fromDamnation Alley Distillery

Saturday May 3, 5:00-11:30 PM

Anthony's, 156 Highland Ave, Somerville MA 02143",upcoming
qrfkzfyshbfb,IDEA Lab at the Artisan's Asylum (hosted by CEMI),http://www.meetup.com/IDEA-Independent-Digital-and-Electronic-Artists-by-CEMI/events/176935312/,"Lots happening every month at the IDEA lab!

Of course, CEMI Members get in free! We usually charge $15 for the workshop, $5 for the lab just to cover teacher's expenses and other related costs. Each month is different, so stay check back here for details.

Schedule:

5:30-7pm Workshop

Each month we host a different workshop, from DJing to programming, projection mapping and electronics. Stay tuned for this month's workshop!

7-8:30

Open Jam

Jam out musically or visually, in a semi-coordinated group! We choose a BPM and a key and everyone just goes for it!

8:30-11

Social time! Music, art, food, drinks. Good discussions with good people. ^__^",upcoming
177352362,Spring! Dinner at Veggie Galaxy,http://www.meetup.com/vegan-516/events/177352362/,Many of us couldn't make the January dinner at Veggie Galaxy because of the sn*w. Here's a chance to do a make-up meal of what is sure to be the best vegetarian and vegan diner food and vegan pastries in the Boston area. Limit 16 hungry people.,upcoming
171824122,Spanish Wine,http://www.meetup.com/Boston-Blind-Tastings/events/171824122/,"Sara is hosting a tasting of Spanish wines and would love to have you to her home in Charlestown. Please bring 4 glasses, ~$10 for food, and a ~$20 bottle of your favorite Spanish wine. Please check back to RSVP. RSVPs will open one month before the event.",upcoming
djmpgjyshbfb,Killer Instinct Gaming League,http://www.meetup.com/Gamers-Microsoft-Store/events/176883292/,"Come join us for our weekly gaming leagues featuring food, giveaways, and $150 in prizes! Let fists, claws, blades, and batons fly in fast-paced combat as Killer Instinct returns, only on Xbox One.",upcoming
179466582,"WINE, WOMEN, & SONG-PARTY FOR A CAUSE",http://www.meetup.com/SINGLES-WITH-STYLE/events/179466582/,"Its not Thanksgiving but you can pig out at our two super dance partiesfabulous foodgreat musicloads of new friends.

SATURDAY, MAY 3ANGELICAS, MIDDLETON, 49 So. Main St. Rte. 114 off Rte. 1

*********************************************

ALWAYSFREE DOOR PRIZES and GAMES TO MAKE NEW FRIENDS

COMPLIMENTARY hors doeuvres, buffet, snacks, and dessert.

Non-stop dance music 8:30-12 am with our most popular DJJOHN BAZZ.

HUNDREDS OF SINGLES 35-60 Y.O.

Cost is $13 before 9, $15 thereafter.

Proper business-casual dress is acceptable.

GOT A DATE? Bring her to dance for FREE admission.

****************************************************************

Buy your July 5th Harbor Cruise ticket TONITE only $15

Details at SinglesWithStyle.com; Harbor Cruise

360 new friends waiting to party with you.

Pre-boarding Party...Cruise &amp; Dance...After Party

****************CUT HERE*****************************

MEET UP SPECIAL ~~Fill out and submit with full payment at the door for a FREE bottle of wine (sorry, no other discounts apply).

NAME: ____________________________________________

EMAIL ____________________________________________

*******************************************************",upcoming
